Code,Name,Market
005930,삼성전자,KOSPI
000660,SK하이닉스,KOSPI
402340,SK스퀘어,KOSPI
005935,삼성전자우,KOSPI
005380,현대차,KOSPI
009150,삼성전기,KOSPI
373220,LG에너지솔루션,KOSPI
329180,HD현대중공업,KOSPI
034020,두산에너빌리티,KOSPI
032830,삼성생명,KOSPI
028260,삼성물산,KOSPI
207940,삼성바이오로직스,KOSPI
000270,기아,KOSPI
012450,한화에어로스페이스,KOSPI
012330,현대모비스,KOSPI
105560,KB금융,KOSPI
006400,삼성SDI,KOSPI
034730,SK,KOSPI
055550,신한지주,KOSPI
068270,셀트리온,KOSPI
010120,LS ELECTRIC,KOSPI
267260,HD현대일렉트릭,KOSPI
042660,한화오션,KOSPI
066570,LG전자,KOSPI
006800,미래에셋증권,KOSPI
298040,효성중공업,KOSPI
005490,POSCO홀딩스,KOSPI
086790,하나금융지주,KOSPI
009540,HD한국조선해양,KOSPI
035420,NAVER,KOSPI
042700,한미반도체,KOSPI
010130,고려아연,KOSPI
000150,두산,KOSPI
010140,삼성중공업,KOSPI
015760,한국전력,KOSPI
000810,삼성화재,KOSPI
051910,LG화학,KOSPI
011070,LG이노텍,KOSPI
064350,현대로템,KOSPI
267250,HD현대,KOSPI
316140,우리금융지주,KOSPI
272210,한화시스템,KOSPI
247540,에코프로비엠,KOSDAQ GLOBAL
017670,SK텔레콤,KOSPI
003670,포스코퓨처엠,KOSPI
096770,SK이노베이션,KOSPI
086520,에코프로,KOSDAQ GLOBAL
079550,LIG디펜스앤에어로스페이스,KOSPI
196170,알테오젠,KOSDAQ GLOBAL
011200,HMM,KOSPI
003550,LG,KOSPI
033780,KT&G,KOSPI
035720,카카오,KOSPI
138040,메리츠금융지주,KOSPI
006260,LS,KOSPI
086280,현대글로비스,KOSPI
307950,현대오토에버,KOSPI
000720,현대건설,KOSPI
024110,기업은행,KOSPI
047810,한국항공우주,KOSPI
277810,레인보우로보틱스,KOSDAQ
018260,삼성에스디에스,KOSPI
278470,에이피알,KOSPI
071050,한국금융지주,KOSPI
030200,KT,KOSPI
0126Z0,삼성에피스홀딩스,KOSPI
047040,대우건설,KOSPI
010950,S-Oil,KOSPI
047050,포스코인터내셔널,KOSPI
259960,크래프톤,KOSPI
443060,HD현대마린솔루션,KOSPI
005940,NH투자증권,KOSPI
016360,삼성증권,KOSPI
036930,주성엔지니어링,KOSDAQ GLOBAL
028050,삼성E&A,KOSPI
323410,카카오뱅크,KOSPI
039490,키움증권,KOSPI
001440,대한전선,KOSPI
000880,한화,KOSPI
007660,이수페타시스,KOSPI
003490,대한항공,KOSPI
352820,하이브,KOSPI
005830,DB손해보험,KOSPI
003230,삼양식품,KOSPI
005387,현대차2우B,KOSPI
950160,코오롱티슈진,KOSDAQ
000990,DB하이텍,KOSPI
000250,삼천당제약,KOSDAQ
058470,리노공업,KOSDAQ GLOBAL
062040,산일전기,KOSPI
034220,LG디스플레이,KOSPI
353200,대덕전자,KOSPI
064400,LG씨엔에스,KOSPI
267270,HD건설기계,KOSPI
161390,한국타이어앤테크놀로지,KOSPI
180640,한진칼,KOSPI
326030,SK바이오팜,KOSPI
009830,한화솔루션,KOSPI
028300,HLB,KOSDAQ
078930,GS,KOSPI
454910,두산로보틱스,KOSPI
090430,아모레퍼시픽,KOSPI
000100,유한양행,KOSPI
021240,코웨이,KOSPI
039030,이오테크닉스,KOSDAQ GLOBAL
298380,에이비엘바이오,KOSDAQ
241560,두산밥캣,KOSPI
082740,한화엔진,KOSPI
000500,가온전선,KOSPI
377300,카카오페이,KOSPI
032640,LG유플러스,KOSPI
336260,두산퓨얼셀,KOSPI
010060,OCI홀딩스,KOSPI
005385,현대차우,KOSPI
066970,엘앤에프,KOSPI
087010,펩트론,KOSDAQ
240810,원익IPS,KOSDAQ GLOBAL
036570,NC,KOSPI
141080,리가켐바이오,KOSDAQ GLOBAL
440110,파두,KOSDAQ
128940,한미약품,KOSPI
011790,SKC,KOSPI
004020,현대제철,KOSPI
052690,한전기술,KOSPI
029780,삼성카드,KOSPI
138930,BNK금융지주,KOSPI
271560,오리온,KOSPI
088980,맥쿼리인프라,KOSPI
095340,ISC,KOSDAQ GLOBAL
018880,한온시스템,KOSPI
403870,HPSP,KOSDAQ GLOBAL
002380,KCC,KOSPI
103590,일진전기,KOSPI
001040,CJ,KOSPI
310210,보로노이,KOSDAQ
022100,포스코DX,KOSPI
004170,신세계,KOSPI
222800,심텍,KOSDAQ GLOBAL
178320,서진시스템,KOSDAQ
214370,케어젠,KOSDAQ
450080,에코프로머티,KOSPI
175330,JB금융지주,KOSPI
088350,한화생명,KOSPI
108490,로보티즈,KOSDAQ
023530,롯데쇼핑,KOSPI
319400,현대무벡스,KOSDAQ
080220,제주반도체,KOSDAQ
010170,대한광통신,KOSDAQ
051900,LG생활건강,KOSPI
012510,더존비즈온,KOSPI
011780,금호석유화학,KOSPI
111770,영원무역,KOSPI
489790,한화비전,KOSPI
004800,효성,KOSPI
011170,롯데케미칼,KOSPI
014680,한솔케미칼,KOSPI
357780,솔브레인,KOSDAQ GLOBAL
005290,동진쎄미켐,KOSDAQ
005850,에스엘,KOSPI
067310,하나마이크론,KOSDAQ
251270,넷마블,KOSPI
036460,한국가스공사,KOSPI
319660,피에스케이,KOSDAQ GLOBAL
064760,티씨케이,KOSDAQ GLOBAL
302440,SK바이오사이언스,KOSPI
226950,올릭스,KOSDAQ
084370,유진테크,KOSDAQ
214150,클래시스,KOSDAQ GLOBAL
131970,두산테스나,KOSDAQ GLOBAL
035250,강원랜드,KOSPI
017800,현대엘리베이터,KOSPI
347850,디앤디파마텍,KOSDAQ
100790,미래에셋벤처투자,KOSDAQ
375500,DL이앤씨,KOSPI
145020,휴젤,KOSDAQ GLOBAL
214450,파마리서치,KOSDAQ GLOBAL
009420,한올바이오파마,KOSPI
028670,팬오션,KOSPI
097950,CJ제일제당,KOSPI
001450,현대해상,KOSPI
043260,성호전자,KOSDAQ
031210,서울보증보험,KOSPI
020150,롯데에너지머티리얼즈,KOSPI
001720,신영증권,KOSPI
457190,이수스페셜티케미컬,KOSPI
139130,iM금융지주,KOSPI
204320,HL만도,KOSPI
032820,우리기술,KOSDAQ
237690,에스티팜,KOSDAQ GLOBAL
031980,피에스케이홀딩스,KOSDAQ
058610,에스피지,KOSDAQ
263750,펄어비스,KOSDAQ GLOBAL
383220,F&F,KOSPI
098460,고영,KOSDAQ
071970,HD현대마린엔진,KOSPI
006360,GS건설,KOSPI
439260,대한조선,KOSPI
218410,RFHIC,KOSDAQ
007340,DN오토모티브,KOSPI
007810,코리아써키트,KOSPI
004990,롯데지주,KOSPI
082920,비츠로셀,KOSDAQ
483650,달바글로벌,KOSPI
012750,에스원,KOSPI
009970,영원무역홀딩스,KOSPI
000155,두산우,KOSPI
078600,대주전자재료,KOSDAQ
0009K0,에임드바이오,KOSDAQ
131290,티에스이,KOSDAQ
139480,이마트,KOSPI
095610,테스,KOSDAQ
229640,LS에코에너지,KOSPI
026960,동서,KOSPI
011210,현대위아,KOSPI
083650,비에이치아이,KOSDAQ
347700,스피어,KOSDAQ
103140,풍산,KOSPI
257720,실리콘투,KOSDAQ
030530,원익홀딩스,KOSDAQ
051600,한전KPS,KOSPI
003690,코리안리,KOSPI
001430,세아베스틸지주,KOSPI
00680K,미래에셋증권2우B,KOSPI
004370,농심,KOSPI
018670,SK가스,KOSPI
069960,현대백화점,KOSPI
120110,코오롱인더,KOSPI
000240,한국앤컴퍼니,KOSPI
007070,GS리테일,KOSPI
279570,케이뱅크,KOSPI
008930,한미사이언스,KOSPI
068760,셀트리온제약,KOSDAQ
140410,메지온,KOSDAQ
282330,BGF리테일,KOSPI
008770,호텔신라,KOSPI
005440,현대지에프홀딩스,KOSPI
322000,HD현대에너지솔루션,KOSPI
112610,씨에스윈드,KOSPI
323280,태성,KOSDAQ
030000,제일기획,KOSPI
035900,JYP Ent.,KOSDAQ GLOBAL
089030,테크윙,KOSDAQ
161890,한국콜마,KOSPI
097230,HJ중공업,KOSPI
085620,미래에셋생명,KOSPI
081660,미스토홀딩스,KOSPI
192820,코스맥스,KOSPI
000120,CJ대한통운,KOSPI
140860,파크시스템스,KOSDAQ GLOBAL
476830,알지노믹스,KOSDAQ
027360,아주IB투자,KOSDAQ
041510,에스엠,KOSDAQ GLOBAL
290650,엘앤씨바이오,KOSDAQ
077970,STX엔진,KOSPI
017960,한국카본,KOSPI
060370,LS마린솔루션,KOSDAQ
